LANGUAGE,"English","Russian"
STR_HELP_Menu,"Using <t color='#FF7723'>action menu</t>, you can recruit units, buy vehicles and unlock weapons, when you are at the base (main/mobile) or FARP`s..","При помощи <t color='#FF7723'>меню действий</t> вы можете нанимать подчиненных, покупать технику и разблокировать оружие, находясь в зеленой зоне (в точке высадки, у мобильной базы или на ПЗП)."
STR_HELP_SaveAmmo,"Using<t color='#FF7723'> action menu</t>, you can <t color='#FF7723'>save</t> your weapon loadout, when you are near the ammo crate at the main base or FARP`s..","При помощи<t color='#FF7723'> меню действий</t> вы можете <t color='#FF7723'>сохранить</t> свой набор оружия, находясь около ящиков с боеприпасами, в точке высадки или на ПЗП.."
STR_HELP_ServiceVehicle,"Using <t color='#FF7723'>action menu</t>, you can <t color='#FF7723'>repair</t> and <t color='#FF7723'>reammo</t> your vehicles when you are at the base (main/mobile), at the FARP`s or near repair vehicles..","При помощи <t color='#FF7723'>меню действий</t> вы можете <t color='#FF7723'>чинить</t> и <t color='#FF7723'>перезаряжать</t> свой транспорт, находясь в зеленой зоне (в точке высадки, на ПЗП или вблизи ремонтной техники)."
STR_HELP_Injured,"When you are <t color='#FF7723'>injured</t>, <t color='#FF7723'>any player</t> can first aid you. You also can <t color='#FF7723'>first aid</t> injured friendly units using<t color='#FF7723'> action menu</t>..","Когда <t color='#FF7723'>вы ранены</t>, оказать <t color='#FF7723'>первую помощь</t> вам может <t color='#FF7723'>любой игрок</t>. Вы также <t color='#FF7723'>можете оказывать первую помощь</t> дружественным бойцам через <t color='#FF7723'>меню действий</t>.."
STR_HELP_Radio,"You may <t color='#FF7723'>destroy radio</t> only using <t color='#FF7723'>action menu</t>..","<t color='#FF7723'>Уничтожить</t> радио вы можете только через <t color='#FF7723'>меню действий</t>.."
STR_HELP_LockVehicle,"If you leave the game, all your vehicles will become open..<br/><t color='#FF0000'>Warning!</t><br/>If vehicle is unused, it will be deleted in %1 minutes <t color='#FF7723'>if it is</t>:<br/>-not at the main base<br/>-not near current town<br/>-is not a mobile base","Если вы покинете игру, вся ваша техника, что была заперта, будет открыта..<br/><t color='#FF0000'>Внимание!</t><br/>Брошеная техника удаляется через %1 минут <t color='#FF7723'>если она</t>:<br/>-не находится в зеленой зоне<br/>-не находится вблизи текущего города<br/>-не является мобильной базой"
STR_HELP_Laser,"Using <t color='#FF7723'>laser designator</t> you may designate <t color='#FF7723'>another player`s</t> CAS aircraft to attack a position with <t color='#FF7723'>bombs or FFAR</t>. There can be only one designation mark active for all players. Use <t color='#FF7723'>action menu</t> to mark a target.","При помощи <t color='#FF7723'>целеуказателя</t> вы можете задать <t color='#FF7723'>игрокам-пилотам</t> штурмовой авиации позицию для атаки <t color='#FF7723'>бомбами или реактивными снарядами</t>. Одновременно может быть активна только одна метка целеуказания среди всех игроков. Используйте <t color='#FF7723'>меню действий</t> для установки метки."
STR_HELP_FieldRepair,"When your <t color='#FF7723'>vehicle is damaged</t>, you may carry out <t color='#FF7723'>field repairs</t>, trying to restore any important systems.<br/>Field repairs takes 1 field repair kit.<br/>Repair kits are being restored, when vehicle receives a high-grade technical service, e.g. at base.","Когда ваше транспортное средство <t color='#FF7723'>повреждено</t>, вы можете провести <t color='#FF7723'>полевой ремонт</t>, восстановив все важные системы.<br/>На проведение ремонта расходуется 1 ремонтный комплект.<br/>Ремонтные комплекты восстанавливаются при полноценном техническом обслуживании, например на базе."
STR_HELP_Mercenary,"When playing on <t color='#FF7723'>'Mercenary'</t> difficulty level, <t color='#FF7723'>AK-PSO</t> rifles are avaliable at the weapon store.","Трофейная техника станет <t color='#FF7723'>'ПРИВАТНОЙ'</t>, если провести на ней <t color='#FF7723'>Тех.обслуживание</t>."
STR_HELP_MobileBase,"You are near a <t color='#FF7723'>Mobile Base</t>.<br/>Here you may buy vehicles and also recruit units like at the main base.","Вы находитесь рядом с <t color='#FF7723'>Мобильной Базой</t>.<br/>Здесь вы можете покупать технику, а также нанимать подчиненных."
STR_HELP_FARP,"You are<t color='#FF7723'> at the FARP</t>.<br/>Here you may buy and repair vehicles and also recruit units like at the main base.","Вы находитесь<t color='#FF7723'> на ПЗП</t>.<br/>Здесь вы можете покупать технику и авиацию, ремонтировать их, а также нанимать подчиненных."
STR_HELP_Smoke,"<t color='#FF7723'>Smoke shells</t> can protect the tank from ATGM attack. In such case commander should <t color='#FF7723'>watch to the attack</t> azimuth and launch smokes, pressing 'R'","<t color='#FF7723'>Дымовые заряды</t> могут спасти танк от атаки ПТУР. При появлении предупреждении об атаке, командир должен направить свой обзор <t color='#FF7723'>в сторону атакующего</t> и выпустить дым кнопкой 'R'"
STR_HELP_UsePrice,"<t color='#FF7723'>Attention!</t> Cost of REPAIR and REARM now 5 pts","<t color='#FF7723'>Внимание!</t> Перевооружение и ремонт теперь будут стоить вам 5 очков"
str_dn_Old_moto,"Java-250","Ява-250"
str_dn_gaz_vodnik,"GAZ-3937 (2хPK)","ГАЗ-3937 (2хПК)"
str_dn_gaz_vodnik_hmg,"GAZ-3937 (2A42)","ГАЗ-3937 (2А42)"
str_dn_gaz_vodnik_medevac,"GAZ-3937 (Medevac.)","ГАЗ-3937 (Мед.)"
str_dn_uaz,"UAZ-469","УАЗ-469"
str_dn_uaz_mg,"UAZ-469 (DShKm)","УАЗ-469 (ДШКм)"
str_dn_uaz_spg,"UAZ-469 (SPG-9)","УАЗ-469 (СПГ-9)"
str_dn_uaz_ags,"UAZ-469 (AGS-17)","УАЗ-469 (АГС-17)"
str_dn_kamaz_repair,"KamAZ-5350 (Repair)","КамАЗ-5350 (Рем.)"
str_dn_kamaz_refuel,"KamAZ-5350 (Refuel)","КамАЗ-5350 (Топл.)"
str_dn_kamaz_reammo,"KamAZ-5350 (Reammo)","КамАЗ-5350 (Боепр.)"
str_dn_kamaz_open,"KamAZ-5350 (Open)","КамАЗ-5350 (Откр.)"
str_dn_kamaz,"KamAZ-5350","КамАЗ-5350"
str_dn_tunguska,"2S6M","2С6М"
str_dn_zsu,"ZSU-23-4","ЗСУ-23-4"
str_dn_m998a2_avenger,"M1097 'Avenger'","M1097 'Avenger'"
str_dn_hmmwvtow,"M966 'HMMWV'(TOW)","M966 'HMMWV' (TOW)"
str_dn_hmmwvmk,"M1025 'HMMWV' (Mk19)","M1025 'HMMWV' (Mk19)"
str_dn_hmmwv50,"M1025 'HMMWV' (M2HD)","M1025 'HMMWV' (M2HD)"
str_dn_hmmwv,"M1025 'HMMWV'","M1025 'HMMWV'"
str_dn_m1114_armored,"M1025 'HMMWV' (M240)","M1025 'HMMWV' (M240)"
str_dn_ural_civ2,"Ural-4320","Урал-4320"
str_dn_ural_civ,"Ural-4320","Урал-4320"
str_dn_ural_zu,"Ural-4320 (ZU-23)","Урал-4320 (ЗУ-23)"
str_dn_mi8MTMED,"Mi-8MT (Medevac.)","Ми-8МТ (Мед.)"
str_dn_mi17CIV,"Мi-8 (Repair)","Ми-8 (Инженерн.)"
str_dn_BMP2_Ambul_INS,"BMP (Medevac.)","БМП (Мед.)"
str_dn_btr90_hq,"Mobile Base","Мобильная база"
str_dn_ru_soldier2,"Soldier (Saiga-12K)","Боец (Сайга 12К)"
str_dn_mgunner,"Machinegunner","Пулеметчик"
str_dn_aa_soldier,"AA Soldier","Боец ПВО"
str_dn_ru_soldier_lat,"AT Soldier (RPG-18)","Гранатометчик (РПГ-18)"
str_dn_ru_soldier_at,"AT Soldier (RPG-7V)","Гранатометчик (РПГ-7В)"
str_dn_ru_soldier_hat,"AT Soldier (9K115)","Гранатометчик (9К115)"
str_dn_usmc_soldier_hat,"AT Soldier (FGM-148)","Гранатометчик (FGM-148)"
str_dn_rifleman,"Infantryman","Пехотинец"
str_dn_grenadier,"Grenadier","Пехотинец (ГП)"
STR_INTRO_Str0,"Greetings!","Доброго времени суток!"
STR_INTRO_Str1,"HINT","Подсказка"
STR_INTRO_Str2,"The main objectives of the mission on each point","Освобождение городов Черноруссии от натовского контингента"
STR_INTRO_Str3,"1.Detect and destroy 'antenna' in order to cut off enemys airborne and ground reinforcements possibility","Обнаружение и уничтожение 'антенны' с целью пресечения подкреплений противнику"
STR_INTRO_Str4,"2.Clear the area of all enemy units","Дымы кнопка R"
STR_INTRO_Str5,"3.Destroy all enemys in counterattack","Медпакеты у мед.палатки"
STR_INTRO_Str6,"flag teleport","Телепорт к пзп у флага"
STR_INTRO_Str7,"Powerful gear box by private car: forward + Shift","Пониженная передача на купленной технике: вперед + шифт"
STR_INTRO_Str8,"Captured weapons can be stored in a box of ammunition","Трофейное оружие можно сохранить в ящик с боеприпасами!"
STR_INTRO_Str9,"City: release %1","Города: Осталось освободить %1"
STR_INTRO_After,"Some time ago...","Некоторое время назад..."
STR_PARAM_StartTime,"Time:","Время:"
STR_PARAM_TimeEarlyMorning,"Early morning","Раннее утро"
STR_PARAM_TimeMorning,"Morning","Утро"
STR_PARAM_TimeDay,"Day","День"
STR_PARAM_TimeEvening,"Evening","Вечер"
STR_PARAM_TimeNight,"Night","Ночь"
STR_PARAM_Weather,"Weather:","Погода:"
STR_PARAM_WeatherTerrible,"Terrible","Ужасная"
STR_PARAM_WeatherBad,"Bad","Плохая"
STR_PARAM_WeatherClouds,"Clouds","Облачно"
STR_PARAM_WeatherCalm,"Calm","Тихая"
STR_PARAM_WeatherClear,"Perfect","Отличная"
STR_PARAM_WeatherDynamic,"Changing","Переменчивая"
STR_PARAM_Towns,"Number of towns:","Число городов:"
STR_PARAM_Capture,"Towns selection:","Выбор городов:"
STR_PARAM_CaptureClosest,"Closest","Ближайшие"
STR_PARAM_CaptureAway,"Keeping away","Постепенное отдаление"
STR_PARAM_HealPackets,"Use Med Packs","Использовать бинты"
STR_PARAM_HealPackets0,"No. You can not heal yourself, but can heal other as usual","Нет. Вы не сможете вылечить себя, остальных без проблем"
STR_PARAM_UsePriceHealPackets,"Price for MedPacks","Стоимость пополнения медпакетов"
STR_PARAM_UsePrice0,"No","Нет"
STR_PARAM_UsePrice5,"5 pts","5 очков"
STR_PARAM_Deletevehicle,"Delete unused vehicles:","Удаление брошеной техники:"
STR_PARAM_Deletevehicle20,"20 min","20 мин"
STR_PARAM_Deletevehicle40,"40 min","40 мин"
STR_PARAM_Deletevehicle60,"60 min","60 мин"
STR_PARAM_DefRepKits,"Number of Repairkits:","Количество ремкоплектов:"
STR_PARAM_TownEnemySupply,"Enemy supply vehicles:","Вражеская техника снабжения:"
STR_PARAM_TownEnemySupply0,"Nothing","Остутствует"
STR_PARAM_TownEnemySupply1,"Repair","Ремонтный"
STR_PARAM_TownEnemySupply2,"Reammo","Боеприпасы"
STR_PARAM_TownEnemySupply12,"Both","Все"
STR_PARAM_UseStaticDefence,"Enemy use static defence:","В городах будут турели:"
STR_PARAM_UseStaticDefence0,"No","Нет"
STR_PARAM_UseHQ,"Mobile base","Мобильная база"
STR_PARAM_UseHQ0,"No","Нет"
STR_PARAM_UseHQ1,"Yes","Да"
STR_PARAM_UseAIR,"Use Air su-34,ka-52","Используем су-34,ка-52"
STR_PARAM_UseAIR0,"No","Нет"
STR_PARAM_UseAIR1,"Yes","Да"
STR_PARAM_UseGrad,"Use Grad","Используем Град"
STR_PARAM_UseGrad0,"No","Нет"
STR_PARAM_UseGrad1,"Yes","Да"
STR_PARAM_UseMinelayer,"Use Minelayer","Используем Миноукладчик"
STR_PARAM_UseMinelayer0,"No","Нет"
STR_PARAM_UseMinelayer1,"Yes","Да"
STR_PARAM_UsePrice,"Price for REPAiR/REAMMO","Цена на ремонт\боекомплект"
STR_PARAM_MaxAir,"Groups of Enemy Air:","Групп вражеского воздуха:"
STR_PARAM_GroupsTownVeh,"Enemy vehicles in town:","Вражеской техники в городе:"
STR_PARAM_GroupsTownInf,"Enemy infantry groups in town:","Групп вражеской пехоты в городе:"
STR_PARAM_GroupsTownAA,"Enemy AA groups in town:","ПВО в городе:"
STR_PARAM_TownForts,"Fortifications in town:","Укрепления в городе:"
STR_PARAM_TownForts0,"No","Нет"
STR_PARAM_TownForts1,"Yes","Да"
STR_PARAM_RandomTown,"Only big towns or random choice","Только крупные города или случайный выбор"
STR_PARAM_RandomTown0,"Random choice","Случайный выбор"
STR_PARAM_RandomTown1,"Balota-Cherno-Elektro-Kamyshovo-Solnich-Berezino-Airfield","Балота-Черно-Электро-Камышо-Солнеч-Берез-Аэродром"
STR_PARAM_RandomTown2,"Cherno-Elektro-Solnich-Krasnostav","Черно-Электро-Солнеч-Красно"
STR_PARAM_haljavaVert,"Use MI-8 respawn","Использовать бесплатный МИ-8"
STR_PARAM_haljavaVert0,"No","Нет"
STR_PARAM_haljavaVert1,"Yes","Да"
STR_PARAM_TKL_Limit,"TeamKill Limit","Кол-во ТимКиллов"
STR_PRESET_Su34_00,"X-29 x6; R-73 x4; S-8T x40","X-29 x6; Р-73 x4; С-8Т x40"
STR_PRESET_Su34_01,"X-29 x4; R-73 x6; S-8T x40","X-29 x4; Р-73 x6; С-8Т x40"
STR_PRESET_Su34_02,"X-29 x8; R-73 x2; S-8T x40","X-29 x8; Р-73 x2; С-8Т x40"
STR_PRESET_Su34_03,"FAB-250 x2; R-73 x8; S-8T x40","ФАБ-250 x2; Р-73 x8; С-8Т x40"
STR_PRESET_Su34_04,"FAB-250 x4; R-73 x6; S-8T x40","ФАБ-250 x4; Р-73 x6; С-8Т x40"
STR_PRESET_Su34_05,"FAB-250 x6; R-73 x4; S-8T x40","ФАБ-250 x6; Р-73 x4; С-8Т x40"
STR_PRESET_Su34_06,"FAB-250 x8; R-73 x2; S-8T x40","ФАБ-250 x8; Р-73 x2; С-8Т x40"
STR_PRESET_Su34_07,"FAB-250 x10; S-8T x40","ФАБ-250 x10; С-8Т x40 "
STR_PRESET_Su34_08,"R-73 x10; S-8T x40","  Р-73 x10; С-8Т x40 "
STR_PRESET_Su39_00,"FAB-250 x4; R-73 x2; S-8T x80","ФАБ-250 x4; Р-73 x2; С-8Т x80"
STR_PRESET_Su39_01,"X-29 x4; R-73 x2; S-8T x80","X-29 x4; Р-73 x2; С-8Т x80"
STR_PRESET_Su39_02,"X-29 x6; R-73 x2; S-8 AT x40","X-29 x6; Р-73 x2; С-8Т x40"
STR_PRESET_Su39_03,"FAB-250 x6; R-73 x2; S-8 AT x40","ФАБ-250 x6; Р-73 x2; С-8Т x40"
STR_PRESET_Mi24V_00,"YakB; Sturm x4; S-8COM x80","ЯкБ; Штурм x4; С-8КОМ x80"
STR_PRESET_Mi24V_01,"GsH-23L; Ataka-V x4; Igla x2; S-8COM x80","ГШ-23Л; Атака-В x4; Игла x2; С-8КОМ х80"
STR_PRESET_Mi24V_02,"GsH-23L; Igla x4; S-8COM x80","ГШ-23Л; Игла x4; С-8КОМ х80"
STR_PRESET_F35B_00,"Bomb F35 x2; Sidewinder x2","GBU-12 x2; Сайндвиндер x2"
STR_PRESET_F35B_01,"Maverick x4; Sidewinder x2","Мэврик x4; Сайндвиндер x2"
STR_PRESET_F35B_02,"Maverick x2; Sidewinder x4","Мэврик x2; Сайндвиндер x4"
STR_PRESET_F35B_03," Hellfire x8 "," Хэлфаер x8 "
STR_PRESET_F35B_04," Sidewinder x 8 "," Сайндвиндер x8 "
STR_PRESET_A10_00,"Maverick x2; Bomb A10 x4; Sidewinder x2; FFARx14","Мэврик x2;GBU-12 x4; Сайндвиндер x2; нар х14"
STR_PRESET_A10_01,"Mk82Bomb x6; Sidewinder x2; FFARx14","Мк82 x6; Сайндвиндер x2; нар х14"
STR_PRESET_A10_02,"Maverick x6;Sidewinderx2; FFARx14","Мэврик x6; Сайндвиндер x2; нар х14"
STR_PRESET_A10_03,"Hellfire x8;Sidewinder x2; FFARx14","Хэлфаер x8; Сайндвиндер x2; ннар х14"
STR_PRESET_Mi24P_00," Sturm x4; Igla x2; S-8COM x40"," Штурм x4; Игла x2; С-8КОМ x40"
STR_PRESET_Mi24P_01,"Ataka-V x4; FAB-250 x2; S-8COM x40","Атака-В x4; ФАБ-250 x2; С-8КОМ x40"
STR_PRESET_AV8B2_00,"MK82 x6;FFAR x14;Sidewinder x2","МК82 x6; нар х14; Сайндвиндер x2"
STR_PRESET_AV8B2_01,"Maverickx6;FFAR x14;Sidewinder x2","Мэврик x6;нар14;Сайндвиндер x2"
STR_PRESET_AV8B2_02,"FFAR x14; 8Rnd Hellfire;Sidewinder x2","нар14;Хэлфаеры x8;Сайндвиндер x2"
STR_PRESET_Ka52Black_00," Standard "," Стандарт "
STR_PRESET_Ka52Black_01," Vikhr x12; R-73 x2","Вихрь x12, Р-73 x2, нар x40"
STR_PRESET_L39_TK_EP1_00," Standard "," Стандарт(пушка+нары) "
STR_PRESET_L39_TK_EP1_01,"GsH-23L; FAB-250 x2 ;S-8T x64; R-73 x2","ГШ-23Л; нар x 64; ФАБ-250 x2; Р-73 x2"
STR_PRESET_L39_TK_EP1_02,"GsH-23L; FAB-250 x4; S-8T x64; ","ГШ-23Л; нар x 64; ФАБ-250 x4 "
STR_PRESET_D30_RU_00,"Sh 122 HE","Фугасные (сильное взрывчатое вещество)"
STR_PRESET_D30_RU_01,"Sh 122 WP","Белые фосфорные (“Willie Pete”)"
STR_PRESET_D30_RU_02,"Sh 122 LASER","Снаряд с лазерным наведением"
STR_PRESET_M119_US_EP1_00,"M119 HE","Фугасные (сильное взрывчатое вещество)"
STR_PRESET_M119_US_EP1_01,"M119 WP","Белые фосфорные (“Willie Pete”)"
STR_PRESET_M119_US_EP1_02,"M119 LASER","Снаряд с лазерным наведением"
STR_PRESET_M252_US_EP1_00," M252 HE","Фугасные (сильное взрывчатое вещество)"
STR_PRESET_M252_US_EP1_01," M252 WP","Белые фосфорные (“Willie Pete”)"
STR_PRESET_2b14_82mm_00," Sh 82 HE","Фугасные (сильное взрывчатое вещество)"
STR_PRESET_2b14_82mm_01," Sh 82 WP","Белые фосфорные (“Willie Pete”)"
STR_PRESET_AH64D_00,"Standart"," Стандарт "
STR_PRESET_AH64D_01,"FFAR x38; Sidewinder 8","Нар x38; Сайндвиндер x8"
STR_PRESET_AH64D_02,"FFAR x38; Hellfire x8;Sidewinder x2","Нар х38; Хэлфаер x8; Сайндвиндер x2"
STR_WF_Gameplay_MissleCamera,"Gameplay: Missle Camera","Режим: Видеокамера на управл. ракетах"
STR_DLG_Loading,"Loading...","Загрузка..."
str_ep1_location_nagara1oilfield,"nagara oilfield","Месторождение Нагара"
STR_TKL_CREATING_A_NEW_RECORD,"TEAM KILLER LOCK SYSTEM: CREATING A NEW RECORD.","ТимКилл: Создание новой записи"
STR_TKL_RECORD_ALREADY_EXIST,"RECORD ALREADY EXIST.","Запись уже существует"
STR_TKL_LIST_UPDATED,"TKL LIST UPDATED EVERY 5MIN (CTRL+V to paste)","Список обновляется каждые 5 минут (CTRL+V to paste)"
STR_TKL_LIMIT_%1/%2,"TEAM KILL LIMIT %1/%2","Кол-во ТимКиллов в игре %1/%2"
STR_TKL_BANNED,"TEAM KILLER LOCK SYSTEM: BANNED!","ВЫ В БАНЕ!!!"
STR_TKL_NAME_PUNISH_%1,"The player %1 punished","Игрок %1 наказан"
STR_TKL_BLACK_FADED,"NO TEAM KILLERS!\nYOUR GAME IS LOCKED!\n(YOU CAN NOT JOIN UNTIL SERVER RESTARTS)\n[ALT]+[F4] => EXIT","СТРЕЛЬБА ПО СВОИМ!\nВ ЭТОЙ ИГРЕ ВЫ ЗАБЛОКИРОВАНЫ!\n( ВОЙТИ ЗАНОВО МОЖНО ПОСЛЕ ПЕРЕЗАГРУЗКИ МИССИИ НА СЕРВЕРЕ )\n[ALT]+[F4] => ЕДИНСТВЕННЫЙ ВЫХОД"
STR_TKL_ACT_FORGIVE_KILLER:_%1,"FORGIVE KILLER: %1","ПОМИЛОВАТЬ: %1"
STR_TKL_ACT_PUNISH_KILLER:_%1,"PUNISH KILLER: %1","НАКАЗАТЬ: %1"
STR_TKL_KILLED_A_COLLEAGUE:_%1/%2\n[LOCKED:_%3],"YOU KILLED A COLLEAGUE: %1/%2\n[LOCKED: %3]\n\n[ALT]+[F4] => EXIT","СТРЕЛЬБА ПО СВОИМ: %1/%2\n[ОКОНЧАНИЕ БЛОКИРОВКИ ЧЕРЕЗ: %3]\n\n[ALT]+[F4] => ЗАКРЫТЬ ИГРУ"
STR_TKL_FORGIVE_KILLER,"\n\n\n\nFORGIVE KILLER?\n(Use action menu)\n%1","\n\n\n\nПОМИЛОВАТЬ ТИМКИЛЛЕРА?\n(действие в меню)\n%1"
STR_TKL_PUNISH_KILLER,"\n\n\n\nPUNISH KILLER?\n(Use action menu)\n%1","\n\n\n\nНАКАЗАТЬ ТИМКИЛЛЕРА?\n(действие в меню)\n%1"
str_location_abc,"Chertov castle","Чертов Замок"
STR_PARAM_CountFriendlyAircraft,"The number of friendly combat aircraft","Количество дружественной боевой авиации"
STR_PARAM_CFA,"off","откл"
STR_PARAM_UFS_NO,"no","нет"
STR_PARAM_UFS_YES,"yes","да"
STR_PARAM_LimitCFA,"Impossible: maximum number %1","Невозможно: достигнуто максимальное кол-во %1"
STR_PARAM_PointersBots,"Pointers Bots","Указатели ботов"
STR_AI_NAME,"ai","бот"

STR_gosa_purchase,"purchase","покупка"
STR_gosa_teleportation,"teleportation","телепортация"
STR_gosa_maintain_equipment,"maintain equipment","сохранить снаряжение"
STR_gosa_dismiss_unit,"dismiss the selected unit","уволить выбранных подчиненных"
STR_gosa_leave_the_squad,"leave the squad","покинуть отряд"
STR_gosa_car_flip,"car flip","перевернуть автомобиль"
STR_gosa_setTerrainGrid,"set Terrain Grid","настройка травы"
STR_gosa_setViewDistance,"set View Distance","настройка дальности обзора"
STR_gosa_join_the_squad,"join the squad","присоединиться к отряду"
STR_gosa_saved,"saved","сохранено"
STR_gosa_CannotTeleport,"You can not teleport to a moving object","нельзя телепортироваться на движущийся объект"
STR_gosa_Situation,"need to translate","Ситуация"
STR_gosa_Situation2,"need to translate","
Сценарий не завершен, поэтому этот текст может не иметь смысла.<br/><br/>
Цель сценария - простой бой с ботами, сконцентрированный в одной точке.<br/><br/>
Большая часть ботов пытается отбить точку, другие патрулируют местность.<br/><br/>
У противников есть пво и радар новой разработки, летайте пониже.<br/><br/>
В нашей армии лишь инженеров, а не всех бойцов обучили полевому ремонту техники.<br/><br/>
Тоже самое с медиками, если вас ранят в ногу санитара может не быть рядом.<br/><br/>
Возрождение может быть прямо на поле боя, в этом случае база имеет мало смысла, режим выбирается при старте.<br/><br/>
С помощью мобильных баз можно строить большую базу, но стройка еще не доработана и частенько глючит.<br/><br/>
Покупка техники и ящиков оружия доступна у точек возрождения и у построенных объектов базы.<br/><br/>
Между точками возрождения, казармами или госпиталями вам можно телепортироваться.<br/><br/>
Можно сохранять вооружение при возрождении (для этого нужно нажать 0-8- и т.д.).<br/><br/>
С помощью грузовиков утилизаторов можно удалять уничтоженную технику.<br/><br/>
Вы можете присоединится к другому отряду или покинуть его с помощью меню 0-8 commandingMenu.<br/><br/>
Если долго удерживать точку то она сменится.<br/><br/>
"
STR_gosa_Сontacts,"Сontacts","Контакты"
STR_gosa_Сontacts2,"The latest version of the script can be downloaded from the link https://github.com/completely-burned/glowing-octo-shame-arma2<br/>
You can leave your wishes by reference https://discord.gg/cc3ewg3 or https://github.com/completely-burned/glowing-octo-shame-arma2/discussions","
Последнюю версию сценария можно скачать по ссылке https://github.com/completely-burned/glowing-octo-shame-arma2<br/>
Пожелания можно оставить по ссылке https://discord.gg/cc3ewg3 или https://github.com/completely-burned/glowing-octo-shame-arma2/discussions"
STR_gosa_heli_transport,"air transportation","воздушный транспорт"
STR_gosa_heli_transport_move,"%1 in transit","%1 в пути"
STR_friendly_vehicles_only,"friendly vehicles only","только дружественные транспортные средства"
STR_gosa_cheat_detected,"cheat detected","чит обнаружен"
